subject,age,education,age_english,age_spanish,comfortable_english,comfortable_spanish,classes_english,classes_spanish,residency_english,residency_spanish,family_english,family_spanish,work_english,work_spanish,percent_friends_english,percent_friends_spanish,percent_friends_other,percent_family_english,percent_family_spanish,percent_family_other,percent_work_english,percent_work_spanish,percent_work_other,talk_yourself_english,talk_yourself_spanish,talk_yourself_other,count_english,count_spanish,count_other,proficiency_speak_english,proficiency_speak_spanish,proficiency_understand_english,proficiency_understand_spanish,proficiency_read_english,proficiency_read_spanish,proficiency_write_english,proficiency_write_spanish,feel_myself_english,feel_myself_spanish,culture_english_speaking,culture_spanish_speaking,sound_native_english,sound_native_spanish,native_speaker_english,native_speaker_spanish,accents_spanish,accents_english,dominance_score,accents_coded,device,trial,response
S039,30,Masters,5,12,5,16,4,13,4,14,4,10,4,12,1,0.7,0.6,1,0.6,0.5,1,0.6,0.5,1,0.6,0.5,1,0.6,0.5,6,4,6,4,6,3,6,3,6,4,6,4,6,4,6,3,3,5,45.04,,Computer/laptop speakers,ad_i_spp_cr,2 and 3
S040,25,"College (B.A., B.S.)",0,14,0,18,6,16,20,1,20,2,20,0,0.9,0.2,0.1,1,0.1,0,0.9,0.1,0,1,0.2,0.1,0.9,0.2,0.1,6,2,6,1,5,1,6,1,6,2,6,3,6,2,6,0,1,5,136.756,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S041,30,Masters,16,13,16,13,16,14,16,14,16,14,14,12,1,0.6,0.6,1,0.7,0.6,1,0.7,0.5,1,0.8,0.5,1,0.7,0.5,6,3,6,4,6,3,6,3,6,3,6,3,6,2,6,2,2,5,68.558,,Computer/laptop speakers,ad_i_spp_cr,2 and 3
S042,45,"College (B.A., B.S.)",14,3,17,6,16,5,17,4,17,4,14,4,0.8,0.2,0.8,0.8,0.2,0.7,0.8,0.1,0.7,0.8,0.2,0.7,0.8,0.3,0.8,5,3,5,3,5,2,5,3,5,3,5,2,5,2,4,2,2,4,71.92,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S043,39,Masters,2,5,5,7,7,7,8,8,4,5,20,20,1,0.8,0.3,1,0.8,0.3,1,0.8,0.3,1,0.7,0.3,1,0.7,0.3,6,4,6,4,6,3,6,2,6,4,6,4,6,3,6,3,5,3,57.116,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S044,33,Masters,0,13,0,15,16,5,20,1,20,1,7,2,1,0.4,0,1,0.2,0,1,0.3,0,0.9,0.3,0,0.7,0.2,0,6,4,6,4,6,5,6,3,6,4,6,2,6,4,6,6,3,5,90.628,"spa_accented_am_eng,  jap_accented_am_eng",Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_i_spp_cr,1 and 2
S045,48,Masters,0,5,0,8,8,12,20,7,20,7,20,10,0.9,0.3,0.1,0.8,0.3,0.1,0.9,0.1,0.1,0.9,0.8,0.1,0.8,0.7,0.2,6,1,6,3,6,2,6,1,5,4,6,2,5,3,6,1,2,5,97.89,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S046,35,Masters,20,2,21,2,20,1,20,1,20,1,20,0,1,0.4,0,1,0.2,0.1,1,0.2,0.2,1,0.3,0.2,1,0.4,0.2,6,3,6,3,6,2,5,2,6,3,6,5,6,5,6,5,5,4,80.274,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S047,26,"College (B.A., B.S.)",20,8,19,12,20,10,19,9,20,11,20,12,1,0.6,0.1,1,0.8,0.1,1,0.5,0.2,1,0.6,0.1,1,0.1,0,6,4,6,5,6,4,6,4,6,4,5,4,5,4,6,4,5,3,54.032,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S048,35,Masters,0,3,20,18,18,16,19,16,19,17,19,16,1,0.7,0.3,1,0.8,0.2,1,0.9,0.3,1,0.9,0.2,1,0.7,0.3,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,28.514,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_i_spp_cr,1 and 2
S049,34,Masters,20,4,21,4,20,4,20,4,20,4,20,4,1,0.1,0,1,0.1,0,1,0,0,1,0,0,1,0,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,155.468,,Computer/laptop speakers,ad_i_spp_cr,2 and 3
S050,56,Masters,0,4,0,5,0,4,20,13,20,0,20,0,1,0.3,0.2,1,0.1,0.1,1,0.1,0.1,1,0.1,0,1,0.1,0,6,0,6,1,6,1,6,2,6,0,6,0,6,1,6,1,2,5,145.838,,Computer/laptop speakers,ad_i_spp_cr,2 and 3
S051,35,Masters,20,14,20,18,20,12,20,9,20,14,20,2,0.8,0.2,0,0.7,0.3,0,1,0,0,0.8,0.1,0,1,0.5,0,6,5,6,2,6,3,6,3,6,3,6,5,6,2,6,4,5,3,96.26,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S052,30,Masters,20,11,19,14,13,11,16,10,17,10,17,10,1,0.8,0.5,1,0.7,0.5,1,0.6,0.3,1,0.5,0.4,1,0.7,0.4,6,5,6,4,6,4,6,4,6,3,6,3,6,3,6,3,2,5,55.482,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S053,35,Masters,0,3,8,9,7,10,9,11,9,13,12,16,1,0.8,0.6,1,0.6,0.4,1,0.6,0.5,1,0.7,0.5,1,0.5,0.5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,26.064,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_i_spp_cr,2 and 3
S054,46,Masters,17,18,16,19,17,19,14,13,15,13,18,14,0.9,0.7,0.8,0.9,0.6,0.8,0.8,0.7,0.6,0.9,0.7,0.6,0.9,0.7,0.5,4,3,5,4,6,4,6,4,5,4,6,4,5,4,5,4,4,5,30.146,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
