subject,age,education,age_english,age_spanish,comfortable_english,comfortable_spanish,classes_english,classes_spanish,residency_english,residency_spanish,family_english,family_spanish,work_english,work_spanish,percent_friends_english,percent_friends_spanish,percent_friends_other,percent_family_english,percent_family_spanish,percent_family_other,percent_work_english,percent_work_spanish,percent_work_other,talk_yourself_english,talk_yourself_spanish,talk_yourself_other,count_english,count_spanish,count_other,proficiency_speak_english,proficiency_speak_spanish,proficiency_understand_english,proficiency_understand_spanish,proficiency_read_english,proficiency_read_spanish,proficiency_write_english,proficiency_write_spanish,feel_myself_english,feel_myself_spanish,culture_english_speaking,culture_spanish_speaking,sound_native_english,sound_native_spanish,native_speaker_english,native_speaker_spanish,accents_spanish,accents_english,dominance_score,accents_coded,device,trial,response
S001,25,High school,0,0,0,0,4,0,20,4,20,20,7,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,6,6,6,6,6,6,6,6,3,6,2,5,3,4,3,1,5,89.458,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S002,39,Some college,0,12,0,15,12,8,20,0,20,0,20,8,1,0.1,0,1,0,0,0.9,0.1,0,1,0,0,1,0,0,6,4,6,2,6,4,6,4,6,1,6,0,6,3,6,2,4,1,142.302,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S003,27,Associates,0,0,4,4,15,0,20,20,20,20,2,0,0.9,0.1,0,0.5,0.5,0,1,0,0,0.9,0.1,0,0.9,0.1,0,5,5,5,4,5,4,5,3,6,6,6,5,6,5,6,5,1,2,60.668,spa_accented_am_eng,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S004,38,"College (B.A., B.S.)",0,4,0,4,16,0,20,20,20,20,17,17,0.9,0.1,0,0.8,0.2,0,0.7,0.3,0,1,0,0,1,0,0,6,4,6,5,6,5,6,3,6,4,6,4,6,4,6,3,3,4,79.556,"spa_accented_am_eng,  eng_accented_mex_spa",High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S005,48,Masters,20,8,21,6,20,6,20,7,20,5,20,6,1,0.3,0.1,1,0.3,0.1,1,0.2,0.1,1,0.1,0.1,1,0.3,0.1,6,2,6,1,6,1,6,1,6,1,6,2,6,2,6,2,2,5,118.23,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S006,48,Masters,20,5,20,5,20,4,20,4,20,4,20,4,1,0.7,0.2,1,0.8,0.2,1,0.9,0.4,1,0.9,0.3,1,0.8,0.3,6,2,6,2,6,2,6,1,6,4,6,3,6,3,6,3,2,5,89.896,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S007,31,"College (B.A., B.S.)",0,19,0,21,18,0,20,0,20,0,20,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,3,5,207.044,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,2 and 3
S008,35,Masters,0,3,2,4,3,5,20,20,20,20,20,20,1,0.9,0,1,0.9,0,1,0.9,0,1,0.9,0,1,0.9,0,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,6,4,5,21.162,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,1 and 2
S009,28,High school,3,0,4,1,12,0,20,0,20,0,8,8,1,0,0,1,0,0,1,0.9,0,0.2,0,0,1,0,0,6,0,6,1,6,1,6,0,6,0,6,0,6,0,6,0,1,5,171.084,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S010,36,Masters,0,10,1,12,5,13,2,10,2,10,2,13,1,0.9,0.7,1,0.8,0.7,1,0.8,0.8,1,0.9,0.8,1,0.8,0.7,6,4,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,25.156,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S011,44,Masters,0,10,0,12,20,6,20,1,20,1,20,1,1,0.5,0,1,0.2,0.1,1,0.4,0,1,0.7,0,0.9,0.8,0,6,5,6,5,6,5,6,5,6,5,6,4,6,4,6,4,3,5,78.822,"spa_accented_am_eng,  chin_accented_am_eng",Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S012,30,Masters,3,18,5,11,4,10,3,10,4,12,4,13,0.8,0.7,0.4,0.9,0.7,0.5,0.9,0.7,0.6,0.9,0.5,0.4,0.9,0.8,0.3,6,5,6,5,6,5,6,5,6,5,6,4,6,4,6,4,5,4,29.332,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S013,35,Masters,0,2,2,3,20,20,20,20,20,20,20,20,1,0.9,0.2,1,0.8,0.2,1,0.9,0.3,1,0.9,0.2,1,0.9,0.3,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,4,5,18.072,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,1 and 2
S014,25,"College (B.A., B.S.)",0,13,0,16,16,5,20,0,20,0,20,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,1,6,3,6,2,6,2,6,1,6,0,6,0,6,0,2,5,179.35,"eng_accented_mex_spa,  eng_accented_brit_eng",High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S015,35,Masters,0,2,3,4,20,20,20,20,20,20,20,19,1,0.9,0.2,1,0.9,0.2,1,0.9,0.1,1,0.9,0.1,1,0.9,0.2,6,6,6,6,6,5,6,5,6,5,6,5,6,5,6,5,4,5,21.976,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,2 and 3
S016,35,Masters,0,3,1,4,20,20,20,20,20,19,20,20,1,0.9,0.2,1,0.9,0.2,1,0.9,0.3,1,0.9,0.2,1,0.9,0.2,6,4,6,4,6,4,6,4,6,4,6,3,6,3,6,3,2,5,52.848,,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,1 and 2
S017,59,"College (B.A., B.S.)",0,5,0,14,16,12,20,0,20,0,20,0,0.9,0.1,0,1,0,0,1,0,0,1,0.1,0,1,0.1,0,6,5,6,5,6,5,6,5,6,0,6,0,6,2,6,2,1,1,129.226,"spa_accented_am_eng,  eng_accented_brit_eng",High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S018,42,"College (B.A., B.S.)",20,10,0,14,20,10,20,10,20,0,20,10,1,0.1,0.1,1,0,0,1,0.5,0.5,1,0,0,1,0,0,6,2,6,6,6,6,6,2,6,0,6,0,6,0,6,0,4,1,137.306,eng_accented_mex_spa,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S019,34,"College (B.A., B.S.)",0,3,0,7,0,3,20,5,20,4,20,4,0.9,0.1,0,1,0,0,1,0,0,1,0,0,1,0,0,6,1,6,2,6,1,6,1,6,1,6,1,6,5,6,2,2,5,144.936,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S020,36,Masters,0,5,0,0,1,0,20,0,20,0,20,0,1,0.2,0,1,0.3,0,1,0.1,0.1,1,0.2,0,1,0.2,0.1,6,2,6,3,6,0,6,1,6,0,6,0,6,0,5,0,1,5,155.734,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S021,30,Masters,5,6,19,19,15,14,14,10,15,13,16,15,0.9,0.8,0.5,0.9,0.8,0.7,0.9,0.8,0.4,0.9,0.5,0.4,0.9,0.7,0.6,6,2,6,3,5,2,6,4,5,3,6,3,6,3,6,2,3,5,66.196,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S022,35,Masters,2,13,3,13,2,11,2,10,2,12,2,11,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,6,4,6,4,6,4,6,4,6,4,6,5,6,5,6,5,3,5,31.42,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S023,40,"College (B.A., B.S.)",18,16,17,15,15,13,15,13,15,13,16,14,0.7,0.2,0.1,0.2,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.6,4,5,4,5,4,5,4,5,3,4,5,2,1,1,2,1,3,4,3.906,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S024,53,"College (B.A., B.S.)",20,15,20,16,20,15,20,16,20,16,20,14,1,0.9,0.7,1,0.7,0.8,1,0.8,0.6,0.9,0.7,0.9,0.9,0.8,0.8,4,5,5,4,5,3,4,4,4,5,4,5,5,4,5,4,4,5,22.16,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S025,26,"College (B.A., B.S.)",15,20,15,21,12,20,14,20,10,20,5,20,0.6,0.8,0,0.5,0.9,0,0.6,0.9,0,0.7,1,0,0.8,1,0.1,5,6,6,6,5,6,4,6,4,6,5,6,4,5,3,6,4,5,-56.666,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S026,35,Masters,20,11,20,1,20,5,20,3,20,6,20,2,1,0.3,0.1,1,0.2,0,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,137.664,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S027,40,"College (B.A., B.S.)",19,15,17,19,17,16,19,17,18,16,15,17,0.8,0.7,0.8,0.8,0.7,0.8,0.9,0.7,0.8,0.9,0.8,0.6,0.9,0.7,0.8,5,4,5,4,5,3,4,5,5,4,5,4,5,3,5,5,3,4,29.424,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S028,35,Masters,20,3,21,4,20,3,20,3,20,3,20,3,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,133.94,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S029,30,Masters,4,14,6,19,6,12,5,11,6,13,5,13,0.9,0.7,0.6,1,0.8,0.6,1,0.8,0.5,1,0.6,0.6,1,0.7,0.5,6,4,6,3,6,2,6,3,6,3,6,3,6,4,6,3,3,5,61.294,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S030,48,"College (B.A., B.S.)",12,15,15,17,15,14,14,16,15,14,16,17,0.5,0.6,0.7,0.7,0.5,0.7,0.6,0.8,0.5,0.6,0.8,0.6,0.6,0.7,0.6,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,3,3,3,3.086,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S031,35,Masters,20,3,20,3,20,3,20,3,20,4,20,2,1,0.1,0.2,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,1,0.2,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,134.576,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S032,40,Masters,18,16,17,14,16,15,16,13,15,14,16,15,0.7,0.6,0.4,0.8,0.7,0.6,0.8,0.5,0.3,0.8,0.8,0.5,0.8,0.7,0.4,5,4,5,3,4,3,6,5,5,4,4,3,6,5,5,4,3,4,28.514,spa_accented_am_eng,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S033,26,"College (B.A., B.S.)",11,20,14,21,15,20,11,20,13,20,16,20,0.6,1,0.1,0.7,1,0.1,0.8,1,0.1,0.5,0.9,0,0.8,0.9,0,5,4,4,6,5,6,4,5,4,6,5,6,5,5,4,5,5,4,-36.78,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S034,40,Masters,17,15,19,17,15,13,18,16,16,14,16,15,0.8,0.7,0.6,0.7,0.6,0.4,0.9,0.8,0.5,0.8,0.7,0.5,0.8,0.7,0.3,5,4,5,3,5,4,4,3,5,4,4,3,5,3,5,3,4,3,36.142,spa_accented_am_eng,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,2 and 3
S035,40,"College (B.A., B.S.)",14,4,4,5,4,6,14,15,12,15,14,17,0.6,0.8,0.6,0.6,0.7,0.6,0.7,0.5,0.7,0.6,0.8,0.7,0.6,0.7,0.6,3,4,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,-30.602,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S036,50,Masters,2,11,2,12,2,11,2,12,2,11,2,11,1,1,0.9,1,1,0.9,1,1,0.8,1,1,0.7,1,1,0.7,6,5,6,5,6,5,6,5,6,6,6,6,6,6,6,5,5,5,3.178,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S037,35,Some graduate school,0,3,21,21,20,19,19,18,18,19,20,19,0.9,0.7,0.8,0.9,0.8,0.6,1,0.6,0.6,0.6,0.6,0.3,0.9,0.7,0.5,5,5,5,5,5,5,5,5,6,6,5,5,6,5,5,5,3,5,15.44,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,1 and 2
S038,35,Masters,20,2,20,2,20,1,20,2,20,2,20,2,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,145.748,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S039,30,Masters,5,12,5,16,4,13,4,14,4,10,4,12,1,0.7,0.6,1,0.6,0.5,1,0.6,0.5,1,0.6,0.5,1,0.6,0.5,6,4,6,4,6,3,6,3,6,4,6,4,6,4,6,3,3,5,45.04,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S040,25,"College (B.A., B.S.)",0,14,0,18,6,16,20,1,20,2,20,0,0.9,0.2,0.1,1,0.1,0,0.9,0.1,0,1,0.2,0.1,0.9,0.2,0.1,6,2,6,1,5,1,6,1,6,2,6,3,6,2,6,0,1,5,136.756,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S041,30,Masters,16,13,16,13,16,14,16,14,16,14,14,12,1,0.6,0.6,1,0.7,0.6,1,0.7,0.5,1,0.8,0.5,1,0.7,0.5,6,3,6,4,6,3,6,3,6,3,6,3,6,2,6,2,2,5,68.558,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S042,45,"College (B.A., B.S.)",14,3,17,6,16,5,17,4,17,4,14,4,0.8,0.2,0.8,0.8,0.2,0.7,0.8,0.1,0.7,0.8,0.2,0.7,0.8,0.3,0.8,5,3,5,3,5,2,5,3,5,3,5,2,5,2,4,2,2,4,71.92,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S043,39,Masters,2,5,5,7,7,7,8,8,4,5,20,20,1,0.8,0.3,1,0.8,0.3,1,0.8,0.3,1,0.7,0.3,1,0.7,0.3,6,4,6,4,6,3,6,2,6,4,6,4,6,3,6,3,5,3,57.116,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S044,33,Masters,0,13,0,15,16,5,20,1,20,1,7,2,1,0.4,0,1,0.2,0,1,0.3,0,0.9,0.3,0,0.7,0.2,0,6,4,6,4,6,5,6,3,6,4,6,2,6,4,6,6,3,5,90.628,"spa_accented_am_eng,  jap_accented_am_eng",Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S045,48,Masters,0,5,0,8,8,12,20,7,20,7,20,10,0.9,0.3,0.1,0.8,0.3,0.1,0.9,0.1,0.1,0.9,0.8,0.1,0.8,0.7,0.2,6,1,6,3,6,2,6,1,5,4,6,2,5,3,6,1,2,5,97.89,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S046,35,Masters,20,2,21,2,20,1,20,1,20,1,20,0,1,0.4,0,1,0.2,0.1,1,0.2,0.2,1,0.3,0.2,1,0.4,0.2,6,3,6,3,6,2,5,2,6,3,6,5,6,5,6,5,5,4,80.274,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S047,26,"College (B.A., B.S.)",20,8,19,12,20,10,19,9,20,11,20,12,1,0.6,0.1,1,0.8,0.1,1,0.5,0.2,1,0.6,0.1,1,0.1,0,6,4,6,5,6,4,6,4,6,4,5,4,5,4,6,4,5,3,54.032,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S048,35,Masters,0,3,20,18,18,16,19,16,19,17,19,16,1,0.7,0.3,1,0.8,0.2,1,0.9,0.3,1,0.9,0.2,1,0.7,0.3,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,28.514,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,1 and 2
S049,34,Masters,20,4,21,4,20,4,20,4,20,4,20,4,1,0.1,0,1,0.1,0,1,0,0,1,0,0,1,0,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,155.468,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S050,56,Masters,0,4,0,5,0,4,20,13,20,0,20,0,1,0.3,0.2,1,0.1,0.1,1,0.1,0.1,1,0.1,0,1,0.1,0,6,0,6,1,6,1,6,2,6,0,6,0,6,1,6,1,2,5,145.838,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S051,35,Masters,20,14,20,18,20,12,20,9,20,14,20,2,0.8,0.2,0,0.7,0.3,0,1,0,0,0.8,0.1,0,1,0.5,0,6,5,6,2,6,3,6,3,6,3,6,5,6,2,6,4,5,3,96.26,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S052,30,Masters,20,11,19,14,13,11,16,10,17,10,17,10,1,0.8,0.5,1,0.7,0.5,1,0.6,0.3,1,0.5,0.4,1,0.7,0.4,6,5,6,4,6,4,6,4,6,3,6,3,6,3,6,3,2,5,55.482,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S053,35,Masters,0,3,8,9,7,10,9,11,9,13,12,16,1,0.8,0.6,1,0.6,0.4,1,0.6,0.5,1,0.7,0.5,1,0.5,0.5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,26.064,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_a_pps_cr,2 and 3
S054,46,Masters,17,18,16,19,17,19,14,13,15,13,18,14,0.9,0.7,0.8,0.9,0.6,0.8,0.8,0.7,0.6,0.9,0.7,0.6,0.9,0.7,0.5,4,3,5,4,6,4,6,4,5,4,6,4,5,4,5,4,4,5,30.146,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,2 and 3
S055,35,Masters,20,6,20,11,20,9,20,7,20,9,20,8,1,0.7,0.5,1,0.8,0.6,1,0.7,0.5,1,0.7,0.5,1,0.7,0.5,6,2,6,3,6,3,6,3,6,3,6,3,6,3,6,2,5,3,78.636,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S056,40,Some college,0,0,0,1,20,20,20,20,20,20,17,19,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,3,4,-27.604,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S057,35,Masters,0,19,1,14,20,3,20,4,20,3,20,6,1,0.5,0.3,1,0.4,0.4,1,0.6,0.3,1,0.6,0.3,1,0.8,0.3,6,1,6,1,6,2,6,1,6,2,6,3,6,3,6,2,5,2,129.394,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S058,35,Masters,20,2,20,1,20,1,20,1,20,1,20,1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,146.656,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S059,45,"College (B.A., B.S.)",0,5,3,10,7,2,20,3,20,5,15,3,1,0.3,0.1,1,0.1,0,1,0.2,0.1,1,0.2,0,1,0.2,0.1,6,4,6,4,6,3,6,3,6,3,6,3,6,3,6,2,3,5,111.514,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S060,35,Masters,20,1,20,2,20,1,20,2,20,1,20,1,1,0.2,0.1,1,0.2,0,1,0.2,0.1,1,0.1,0.1,1,0.1,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,141.842,,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S061,30,Masters,20,11,21,12,19,12,18,11,19,13,19,11,1,0.6,0.4,1,0.7,0.5,1,0.6,0.4,1,0.6,0.4,1,0.7,0.5,6,2,6,2,6,3,6,2,6,4,6,2,6,2,6,3,2,5,77.274,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S062,35,Masters,0,16,20,15,20,11,20,10,20,11,20,9,1,0.5,0.2,1,0.7,0.3,1,0.6,0.4,1,0.7,0.3,1,0.6,0.4,6,4,6,5,6,4,6,3,6,4,6,3,6,4,6,3,5,3,72.28,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S063,42,"College (B.A., B.S.)",20,10,0,14,20,10,20,10,20,0,20,10,1,0.1,0.1,1,0,0,1,0.5,0.5,1,0,0,1,0,0,6,2,6,6,6,6,6,2,6,0,6,0,6,0,6,0,4,1,132.766,eng_accented_mex_spa,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S064,32,Masters,0,20,3,20,5,20,10,20,20,20,10,4,1,0.3,0,0.9,0.2,0,0.8,0.3,0,0.7,0.3,0,0.8,0.2,0,6,3,6,2,6,2,6,2,6,2,5,2,5,3,6,3,2,5,99.982,spa_accented_am_eng,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S065,24,Masters,20,10,21,16,20,17,20,18,20,6,20,19,1,0.8,0.5,1,0.6,0,1,0.8,0.6,1,0.9,0.6,1,0.7,0.6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,29.604,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S066,40,Masters,16,8,10,8,14,15,12,13,13,10,11,12,0.9,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.7,0.9,0.8,0.9,0.9,0.9,5,5,5,5,5,6,5,4,4,5,5,5,5,5,5,5,4,4,0.82,spa_accented_am_eng,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_a_pps_cr,1 and 2
S067,35,Masters,20,18,17,18,19,16,20,12,19,18,16,15,1,0.8,0,1,0.7,0,1,0.8,0,1,0.7,0,1,0.8,0,6,4,6,5,6,5,6,4,6,3,6,5,5,5,6,5,4,5,41.318,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S068,30,"College (B.A., B.S.)",0,20,0,20,20,0,20,20,20,0,10,2,0.9,0.1,0,1,0,0,0.9,0.1,0,1,0,0,0.9,0.1,0,6,2,6,3,6,3,6,2,6,2,5,2,6,3,6,2,2,5,142.392,spa_accented_cast_spa,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S069,50,Masters,2,7,4,8,5,10,4,12,2,6,20,20,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,23.248,,Computer/laptop speakers,ad_a_pps_cr,2 and 3
S070,39,Masters,17,14,18,13,17,14,14,12,17,15,11,10,0.8,0.7,0.4,0.7,0.6,0.5,0.9,0.5,0.3,0.9,0.6,0.5,0.8,0.6,0.4,6,5,5,4,5,4,6,3,4,3,5,3,5,4,6,4,3,4,35.96,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S071,40,Some college,20,19,20,20,20,19,19,19,20,20,19,20,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,5,5,5,5,5,5,5,6,5,4,5,5,5,4,5,5,4,4,3.996,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S072,47,"College (B.A., B.S.)",0,1,1,2,4,6,20,20,20,20,19,18,1,0.8,0.1,1,0.8,0.1,0.9,0.8,0.3,0.9,0.8,0.3,1,0.9,0.3,6,5,6,5,6,5,6,6,6,5,6,4,6,5,5,4,4,5,28.424,,External speakers attached to computer/laptop,ad_a_pps_cr,1 and 2
S073,26,"College (B.A., B.S.)",12,20,13,21,15,20,12,20,10,20,13,20,0.8,0.9,0.1,0.8,1,0,0.7,1,0.2,0.6,1,0,0.7,0.9,0.1,5,6,4,6,3,6,3,5,4,6,5,6,3,6,5,6,5,4,-49.58,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S074,67,"College (B.A., B.S.)",0,15,0,16,20,20,20,20,20,20,20,20,1,0.8,0.1,1,0.8,0.2,1,0.9,0.2,1,0.9,0.1,1,0.9,0.1,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,17.074,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S075,26,"College (B.A., B.S.)",10,20,12,20,13,20,10,20,11,20,14,20,0.8,1,0.1,0.7,1,0.1,0.8,1,0.1,0.8,1,0.1,0.5,0.9,0.1,6,6,5,6,6,5,4,5,5,6,4,5,5,5,6,5,5,4,-23.976,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S076,35,Masters,20,18,21,20,20,17,20,18,20,15,20,19,1,0.7,0,1,0.8,0,1,0.9,0,1,0.7,0,1,0.9,0,6,4,6,5,6,6,6,4,6,5,6,4,6,5,6,4,5,3,35.596,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S077,42,"College (B.A., B.S.)",0,0,0,12,16,10,20,20,20,20,20,9,0.8,0.2,0,0.7,0.3,0,0.9,0.1,0,0.5,0.5,0,0.7,0.3,0,6,4,6,5,6,4,6,3,5,1,6,4,5,3,6,3,2,5,71.196,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,2 and 3
S078,24,"College (B.A., B.S.)",0,0,0,0,10,6,20,20,20,20,6,4,0.8,0.2,0,0.2,0.8,0,0.9,0.1,0,0.6,0.4,0,0.7,0.3,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,5,1,22.524,spa_accented_am_eng,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S079,32,Masters,0,13,0,18,7,8,0,11,2,8,5,7,0.4,0.3,0.6,0.4,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.4,5,4,4,4,4,3,2,3,3,4,4,4,3,3,3,3,3,4,-1.906,,Computer/laptop speakers,ad_a_pps_cr,1 and 2
S080,25,"College (B.A., B.S.)",0,10,3,10,10,14,20,11,20,10,20,10,1,0.2,0,0.9,0.2,0.1,1,0.3,0,1,0.1,0,0.7,0.1,0.1,6,2,6,2,6,3,6,2,6,2,6,2,6,2,6,3,2,5,119.868,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_a_pps_cr,1 and 2
S081,40,PhD/MD/JD,0,11,0,14,20,5,20,0,20,0,20,0,1,0,0,1,0,0,1,0,0.2,1,0,0,1,0,0,6,3,6,3,6,5,6,3,6,0,6,0,0,0,0,0,1,3,138.58,"eng_accented_mex_spa,  eng_accented_ind,  eng_accented_chin",Computer/laptop speakers,ad_a_pps_cr,2 and 3
